DateTime,City,district,PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,AQI,TEMP,PRES,DEWP,RAIN,wd,WSPM,Predominan _Parameter
2024-11-01 01:00:00,TPHCM,Q1,68.0,64.0,17.0,4.0,28.0,31.0,40.0,68,30.0,1009.0,22.0,0.0,130.0,13.0,PM2.5
2024-11-01 02:00:00,TPHCM,Q3,67.0,70.0,23.0,2.0,13.0,49.0,77.0,77,29.0,1009.0,23.1,0.0,149.0,12.8,OZONE
2024-11-01 03:00:00,TPHCM,Q7,32.0,81.5,26.0,5.0,6.0,19.0,16.0,32,29.0,1008.0,23.0,0.0,150.0,13.0,PM2.5
2024-11-01 04:00:00,TPHCM,Tân Bình,93.0,93.0,31.0,3.0,9.0,57.0,61.0,93,29.0,1008.0,23.0,0.0,130.0,16.6,PM10
2024-11-01 05:00:00,TPHCM,Tân Phú,60.0,55.0,20.0,5.0,18.0,29.0,53.0,60,28.9,1008.1,23.2,0.0,140.0,16.4,PM2.5
2024-11-01 06:00:00,TPHCM,Q1,48.0,52.0,25.0,3.0,12.0,43.0,67.0,67,29.0,1009.0,23.0,0.0,130.0,14.8,OZONE
2024-11-01 07:00:00,TPHCM,Q3,36.0,41.0,31.0,5.0,5.0,33.0,14.0,41,29.0,1009.0,24.0,0.0,120.0,14.8,PM10
2024-11-01 08:00:00,TPHCM,Q7,27.0,43.0,23.0,3.0,11.0,44.0,61.0,61,29.0,1011.0,23.2,0.0,120.0,10.1,OZONE
2024-11-01 09:00:00,TPHCM,Tân Bình,54.0,54.0,15.0,5.0,21.0,30.0,51.0,54,29.0,1011.0,23.0,0.0,80.0,14.8,PM10
2024-11-01 10:00:00,TPHCM,Tân Phú,48.0,53.0,24.0,3.0,13.0,39.0,69.0,69,31.0,1011.0,22.0,0.0,80.0,9.4,OZONE
2024-11-01 11:00:00,TPHCM,Q1,24.0,35.0,29.0,5.0,6.0,16.0,16.0,35,31.9,1011.1,22.2,0.0,108.0,16.0,PM10
2024-11-01 12:00:00,TPHCM,Q3,53.0,63.0,24.0,3.0,12.0,48.0,59.0,63,33.0,1011.0,23.0,0.0,100.0,14.8,PM10
2024-11-01 13:00:00,TPHCM,Q7,59.0,57.0,15.0,5.0,20.0,30.0,63.0,63,34.0,1010.0,23.0,0.0,100.0,13.0,OZONE
2024-11-01 14:00:00,TPHCM,Tân Bình,55.0,58.0,24.0,3.0,14.0,43.0,82.0,82,34.0,1008.1,22.1,0.0,51.0,11.1,OZONE
2024-11-01 15:00:00,TPHCM,Tân Phú,22.0,34.0,26.0,4.0,6.0,17.0,15.0,34,35.0,1007.0,22.0,3.5,90.0,11.2,PM10
2024-11-01 16:00:00,TPHCM,Q1,65.0,72.0,25.0,3.0,12.0,50.0,70.0,72,35.0,1006.0,23.0,0.7,20.0,13.0,PM10
